ALL	 pop_1 	A103 	4 	4
MER_4	 pop_3 	A103 	1 	2
MER_5	 pop_3 	A103 	4 	4
MER_6	 pop_3 	A103 	3 	6
MER_7	 pop_3 	A103 	4 	8
MER_8	 pop_3 	A103 	6 	8
MER_9	 pop_3 	A103 	5 	7
MER_10	 pop_3 	A103 	4 	8
MER_11	 pop_3 	A103 	2 	5
MER_12	 pop_3 	A103 	5 	6
MER_13	 pop_3 	A103 	3 	5
MER_14	 pop_3 	A103 	4 	8
MER_15	 pop_3 	A103 	4 	5
MER_16	 pop_3 	A103 	5 	5
MER_17	 pop_3 	A103 	3 	3
MER_18	 pop_3 	A103 	5 	9
MER_19	 pop_3 	A103 	5 	5
MER_20	 pop_3 	A103 	4 	9
MER_21	 pop_3 	A103 	1 	8
MER_22	 pop_3 	A103 	3 	5
MER_23	 pop_3 	A103 	5 	5
MER_24	 pop_3 	A103 	3 	11
MER_25	 pop_3 	A103 	5 	7
MER_26	 pop_3 	A103 	7 	7
MER_27	 pop_3 	A103 	4 	9
MER_28	 pop_3 	A103 	5 	8
MER_29	 pop_3 	A103 	5 	8
MISS	 pop_4 	A103 	3 	8
MISS_2	 pop_4 	A103 	3 	6
MISS_3	 pop_4 	A103 	4 	5
MISS_4	 pop_4 	A103 	0 	2
MISS_5	 pop_4 	A103 	1 	2
MISS_6	 pop_4 	A103 	3 	8
MISS_7	 pop_4 	A103 	0 	5
MISS_8	 pop_4 	A103 	1 	5
MISS_9	 pop_4 	A103 	3 	5
MISS_10	 pop_4 	A103 	3 	7
MISS_11	 pop_4 	A103 	4 	7
MISS_12	 pop_4 	A103 	3 	4
MISS_13	 pop_4 	A103 	1 	5
MISS_14	 pop_4 	A103 	3 	8
MISS_15	 pop_4 	A103 	5 	8
MISS_16	 pop_4 	A103 	3 	3
MISS_17	 pop_4 	A103 	4 	6
MISS_18	 pop_4 	A103 	3 	5
MISS_19	 pop_4 	A103 	6 	7
MISS_20	 pop_4 	A103 	3 	8
MISS_21	 pop_4 	A103 	3 	4
MISS_22	 pop_4 	A103 	3 	9
MISS_23	 pop_4 	A103 	0 	0
MISS_24	 pop_4 	A103 	3 	8
MISS_25	 pop_4 	A103 	4 	8
MISS_26	 pop_4 	A103 	1 	6
MISS_27	 pop_4 	A103 	6 	8
MISS_28	 pop_4 	A103 	4 	4
MISS_29	 pop_4 	A103 	3 	5
MISS_30	 pop_4 	A103 	3 	6
MISS_31	 pop_4 	A103 	5 	5
MISS_32	 pop_4 	A103 	1 	8
MISS_33	 pop_4 	A103 	5 	7
MISS_34	 pop_4 	A103 	3 	3
MISS_35	 pop_4 	A103 	7 	9
MISS_36	 pop_4 	A103 	6 	7
MISS_37	 pop_4 	A103 	4 	8
MISS_38	 pop_4 	A103 	5 	6
MISS_39	 pop_4 	A103 	3 	4
MISS_40	 pop_4 	A103 	1 	5
MISS_41	 pop_4 	A103 	6 	8
MISS_42	 pop_4 	A103 	1 	6
MISS_43	 pop_4 	A103 	3 	5
MISS_44	 pop_4 	A103 	1 	5
MISS_45	 pop_4 	A103 	0 	0
MISS_46	 pop_4 	A103 	1 	5
MISS_47	 pop_4 	A103 	1 	8
MISS_48	 pop_4 	A103 	4 	4
MISS_49	 pop_4 	A103 	1 	6
MISS_50	 pop_4 	A103 	2 	3
MISS_51	 pop_4 	A103 	1 	5
TIPP	 pop_5 	A103 	3 	7
TIPP_2	 pop_5 	A103 	1 	7
TIPP_3	 pop_5 	A103 	5 	7
TIPP_4	 pop_5 	A103 	4 	4
TIPP_5	 pop_5 	A103 	4 	4
TIPP_6	 pop_5 	A103 	4 	5
TIPP_7	 pop_5 	A103 	3 	7
TIPP_8	 pop_5 	A103 	6 	6
TIPP_9	 pop_5 	A103 	9 	10
TIPP_10	 pop_5 	A103 	3 	8
TIPP_11	 pop_5 	A103 	5 	5
TIPP_12	 pop_5 	A103 	4 	6
TIPP_13	 pop_5 	A103 	6 	8
TIPP_14	 pop_5 	A103 	3 	5
TIPP_15	 pop_5 	A103 	3 	5
TIPP_16	 pop_5 	A103 	3 	5
TIPP_17	 pop_5 	A103 	2 	3
TIPP_18	 pop_5 	A103 	2 	3
TIPP_19	 pop_5 	A103 	3 	6
TN	 pop_6 	A103 	3 	6
TN_2	 pop_6 	A103 	2 	5
TN_3	 pop_6 	A103 	5 	5
TN_4	 pop_6 	A103 	2 	3
TN_5	 pop_6 	A103 	5 	6
TN_6	 pop_6 	A103 	3 	3
TN_7	 pop_6 	A103 	1 	6
TN_8	 pop_6 	A103 	1 	5
WIS	 pop_7 	A103 	6 	7
WIS_2	 pop_7 	A103 	5 	9
WIS_3	 pop_7 	A103 	5 	5
WIS_4	 pop_7 	A103 	1 	3
WIS_5	 pop_7 	A103 	5 	6
WIS_6	 pop_7 	A103 	4 	4
WIS_7	 pop_7 	A103 	5 	8
WIS_8	 pop_7 	A103 	7 	9
WIS_9	 pop_7 	A103 	3 	4
WIS_10	 pop_7 	A103 	3 	5
WIS_11	 pop_7 	A103 	5 	5
WIS_12	 pop_7 	A103 	4 	5
WIS_13	 pop_7 	A103 	2 	8
WIS_14	 pop_7 	A103 	5 	6
WIS_15	 pop_7 	A103 	1 	8
WIS_16	 pop_7 	A103 	4 	8
WIS_17	 pop_7 	A103 	5 	5
ALL	 pop_1 	A115 	1 	2
ALL_2	 pop_1 	A115 	2 	4
ALL_3	 pop_1 	A115 	1 	5
ALL_4	 pop_1 	A115 	1 	5
ALL_5	 pop_1 	A115 	2 	5
ALL_6	 pop_1 	A115 	2 	5
ALL_7	 pop_1 	A115 	1 	5
ALL_8	 pop_1 	A115 	1 	6
ALL_9	 pop_1 	A115 	3 	4
ALL_10	 pop_1 	A115 	1 	2
ALL_11	 pop_1 	A115 	4 	5
ALL_12	 pop_1 	A115 	3 	4
ALL_13	 pop_1 	A115 	1 	2
ALL_14	 pop_1 	A115 	2 	4
ALL_15	 pop_1 	A115 	1 	1
ALL_16	 pop_1 	A115 	1 	4
ALL_17	 pop_1 	A115 	1 	1
ALL_18	 pop_1 	A115 	1 	2
ALL_19	 pop_1 	A115 	2 	3
ALL_20	 pop_1 	A115 	2 	3
ALL_21	 pop_1 	A115 	2 	5
ALL_22	 pop_1 	A115 	1 	6
CHIP	 pop_2 	A115 	2 	4
CHIP_2	 pop_2 	A115 	5 	5
CHIP_3	 pop_2 	A115 	4 	4
CHIP_4	 pop_2 	A115 	2 	4
CHIP_5	 pop_2 	A115 	2 	4
CHIP_6	 pop_2 	A115 	6 	6
CHIP_7	 pop_2 	A115 	1 	5
CHIP_8	 pop_2 	A115 	2 	6
CHIP_9	 pop_2 	A115 	5 	10
CHIP_10	 pop_2 	A115 	4 	6
CHIP_11	 pop_2 	A115 	1 	4
CHIP_12	 pop_2 	A115 	4 	6
CHIP_13	 pop_2 	A115 	4 	5
CHIP_14	 pop_2 	A115 	2 	4
CHIP_15	 pop_2 	A115 	4 	4
CHIP_16	 pop_2 	A115 	2 	2
CHIP_17	 pop_2 	A115 	0 	0
CHIP_18	 pop_2 	A115 	0 	0
CHIP_19	 pop_2 	A115 	4 	6
CHIP_20	 pop_2 	A115 	1 	11
CHIP_21	 pop_2 	A115 	4 	5
MER	 pop_3 	A115 	2 	4
MER_2	 pop_3 	A115 	3 	3
MER_3	 pop_3 	A115 	3 	3
MER_4	 pop_3 	A115 	3 	3
MER_5	 pop_3 	A115 	2 	5
MER_6	 pop_3 	A115 	4 	11
MER_7	 pop_3 	A115 	2 	4
MER_8	 pop_3 	A115 	0 	4
MER_9	 pop_3 	A115 	2 	6
MER_10	 pop_3 	A115 	4 	5
MER_11	 pop_3 	A115 	1 	5
MER_12	 pop_3 	A115 	2 	4
MER_13	 pop_3 	A115 	1 	2
MER_14	 pop_3 	A115 	1 	2
MER_15	 pop_3 	A115 	4 	5
MER_16	 pop_3 	A115 	1 	3
MER_17	 pop_3 	A115 	4 	4
MER_18	 pop_3 	A115 	2 	4
MER_19	 pop_3 	A115 	6 	12
MER_20	 pop_3 	A115 	4 	5
MER_21	 pop_3 	A115 	2 	4
MER_22	 pop_3 	A115 	2 	3
MER_23	 pop_3 	A115 	0 	2
MER_24	 pop_3 	A115 	2 	2
MER_25	 pop_3 	A115 	1 	2
MER_26	 pop_3 	A115 	0 	0
MER_27	 pop_3 	A115 	2 	4
MER_28	 pop_3 	A115 	2 	2
MER_29	 pop_3 	A115 	1 	1
MISS	 pop_4 	A115 	2 	5
MISS_2	 pop_4 	A115 	4 	6
MISS_3	 pop_4 	A115 	1 	3
MISS_4	 pop_4 	A115 	1 	4
MISS_5	 pop_4 	A115 	2 	4
MISS_6	 pop_4 	A115 	4 	7
MISS_7	 pop_4 	A115 	2 	4
MISS_8	 pop_4 	A115 	4 	4
MISS_9	 pop_4 	A115 	1 	6
MISS_10	 pop_4 	A115 	2 	4
MISS_11	 pop_4 	A115 	4 	4
MISS_12	 pop_4 	A115 	4 	10
MISS_13	 pop_4 	A115 	4 	4
MISS_14	 pop_4 	A115 	1 	4
MISS_15	 pop_4 	A115 	1 	1
MISS_16	 pop_4 	A115 	1 	1
MISS_17	 pop_4 	A115 	4 	6
MISS_18	 pop_4 	A115 	2 	2
MISS_19	 pop_4 	A115 	2 	4
MISS_20	 pop_4 	A115 	2 	2
MISS_21	 pop_4 	A115 	4 	4
MISS_22	 pop_4 	A115 	1 	11
MISS_23	 pop_4 	A115 	0 	0
MISS_24	 pop_4 	A115 	1 	1
MISS_25	 pop_4 	A115 	2 	5
MISS_26	 pop_4 	A115 	1 	2
MISS_27	 pop_4 	A115 	4 	6
MISS_28	 pop_4 	A115 	1 	9
MISS_29	 pop_4 	A115 	2 	4
MISS_30	 pop_4 	A115 	4 	5
MISS_31	 pop_4 	A115 	2 	6
MISS_32	 pop_4 	A115 	4 	4
MISS_33	 pop_4 	A115 	3 	4
MISS_34	 pop_4 	A115 	0 	0
MISS_35	 pop_4 	A115 	2 	2
MISS_36	 pop_4 	A115 	1 	8
MISS_37	 pop_4 	A115 	2 	4
MISS_38	 pop_4 	A115 	4 	4
MISS_39	 pop_4 	A115 	4 	5
MISS_40	 pop_4 	A115 	1 	4
MISS_41	 pop_4 	A115 	2 	9
MISS_42	 pop_4 	A115 	4 	12
MISS_43	 pop_4 	A115 	2 	2
MISS_44	 pop_4 	A115 	1 	5
MISS_45	 pop_4 	A115 	0 	0
MISS_46	 pop_4 	A115 	4 	4
MISS_47	 pop_4 	A115 	4 	5
MISS_48	 pop_4 	A115 	0 	0
MISS_49	 pop_4 	A115 	0 	0
MISS_50	 pop_4 	A115 	1 	3
MISS_51	 pop_4 	A115 	2 	3
TIPP	 pop_5 	A115 	1 	5
TIPP_2	 pop_5 	A115 	2 	4
TIPP_3	 pop_5 	A115 	3 	5
TIPP_4	 pop_5 	A115 	5 	5
TIPP_5	 pop_5 	A115 	4 	7
TIPP_6	 pop_5 	A115 	2 	4
TIPP_7	 pop_5 	A115 	2 	4
TIPP_8	 pop_5 	A115 	2 	5
TIPP_9	 pop_5 	A115 	0 	0
TIPP_10	 pop_5 	A115 	3 	4
TIPP_11	 pop_5 	A115 	4 	10
TIPP_12	 pop_5 	A115 	1 	6
TIPP_13	 pop_5 	A115 	6 	6
TIPP_14	 pop_5 	A115 	5 	6
TIPP_15	 pop_5 	A115 	4 	6
TIPP_16	 pop_5 	A115 	4 	4
TIPP_17	 pop_5 	A115 	1 	4
TIPP_18	 pop_5 	A115 	3 	7
TIPP_19	 pop_5 	A115 	3 	8
TN	 pop_6 	A115 	4 	4
TN_2	 pop_6 	A115 	2 	5
TN_3	 pop_6 	A115 	3 	8
TN_4	 pop_6 	A115 	1 	2
TN_5	 pop_6 	A115 	4 	4
TN_6	 pop_6 	A115 	2 	4
TN_7	 pop_6 	A115 	2 	7
TN_8	 pop_6 	A115 	4 	8
WIS	 pop_7 	A115 	2 	10
WIS_2	 pop_7 	A115 	0 	0
WIS_3	 pop_7 	A115 	2 	4
WIS_4	 pop_7 	A115 	2 	4
WIS_5	 pop_7 	A115 	1 	4
WIS_6	 pop_7 	A115 	1 	4
WIS_7	 pop_7 	A115 	2 	5
WIS_8	 pop_7 	A115 	3 	4
WIS_9	 pop_7 	A115 	2 	4
WIS_10	 pop_7 	A115 	2 	5
WIS_11	 pop_7 	A115 	2 	5
WIS_12	 pop_7 	A115 	1 	3
WIS_13	 pop_7 	A115 	4 	4
WIS_14	 pop_7 	A115 	1 	2
WIS_15	 pop_7 	A115 	2 	2
WIS_16	 pop_7 	A115 	2 	8
WIS_17	 pop_7 	A115 	1 	2
ALL	 pop_1 	A120 	4 	4
ALL_2	 pop_1 	A120 	6 	16
ALL_3	 pop_1 	A120 	5 	16
ALL_4	 pop_1 	A120 	4 	6
ALL_5	 pop_1 	A120 	4 	4
ALL_6	 pop_1 	A120 	4 	16
ALL_7	 pop_1 	A120 	4 	16
ALL_8	 pop_1 	A120 	6 	16
ALL_9	 pop_1 	A120 	7 	16
ALL_10	 pop_1 	A120 	4 	6
ALL_11	 pop_1 	A120 	4 	5
ALL_12	 pop_1 	A120 	4 	4
ALL_13	 pop_1 	A120 	4 	4
ALL_14	 pop_1 	A120 	6 	16
ALL_15	 pop_1 	A120 	9 	16
ALL_16	 pop_1 	A120 	4 	6
ALL_17	 pop_1 	A120 	4 	16
ALL_18	 pop_1 	A120 	4 	4
ALL_19	 pop_1 	A120 	4 	4
ALL_20	 pop_1 	A120 	4 	5
ALL_21	 pop_1 	A120 	5 	9
ALL_22	 pop_1 	A120 	5 	5
CHIP	 pop_2 	A120 	5 	5
CHIP_2	 pop_2 	A120 	4 	5
CHIP_3	 pop_2 	A120 	4 	12
CHIP_4	 pop_2 	A120 	5 	10
CHIP_5	 pop_2 	A120 	2 	5
CHIP_6	 pop_2 	A120 	2 	7
CHIP_7	 pop_2 	A120 	5 	5
CHIP_8	 pop_2 	A120 	2 	4
CHIP_9	 pop_2 	A120 	5 	5
CHIP_10	 pop_2 	A120 	2 	5
CHIP_11	 pop_2 	A120 	3 	4
CHIP_12	 pop_2 	A120 	4 	5
CHIP_13	 pop_2 	A120 	2 	5
CHIP_14	 pop_2 	A120 	4 	5
CHIP_15	 pop_2 	A120 	5 	13
CHIP_16	 pop_2 	A120 	4 	4
CHIP_17	 pop_2 	A120 	2 	2
CHIP_18	 pop_2 	A120 	5 	5
CHIP_19	 pop_2 	A120 	2 	12
CHIP_20	 pop_2 	A120 	2 	5
CHIP_21	 pop_2 	A120 	4 	5
MER	 pop_3 	A120 	3 	3
MER_2	 pop_3 	A120 	1 	2
MER_3	 pop_3 	A120 	0 	2
MER_4	 pop_3 	A120 	0 	10
MER_5	 pop_3 	A120 	3 	4
MER_6	 pop_3 	A120 	3 	5
MER_7	 pop_3 	A120 	12 	14
MER_8	 pop_3 	A120 	2 	13
MER_9	 pop_3 	A120 	4 	11
MER_10	 pop_3 	A120 	4 	5
MER_11	 pop_3 	A120 	3 	5
MER_12	 pop_3 	A120 	4 	6
MER_13	 pop_3 	A120 	3 	5
MER_14	 pop_3 	A120 	5 	6
MER_15	 pop_3 	A120 	3 	5
MER_16	 pop_3 	A120 	3 	3
MER_17	 pop_3 	A120 	3 	6
MER_18	 pop_3 	A120 	3 	10
MER_19	 pop_3 	A120 	5 	5
MER_20	 pop_3 	A120 	2 	3
MER_21	 pop_3 	A120 	3 	5
MER_22	 pop_3 	A120 	4 	5
MER_23	 pop_3 	A120 	5 	5
MER_24	 pop_3 	A120 	5 	5
MER_25	 pop_3 	A120 	3 	5
MER_26	 pop_3 	A120 	2 	6
MER_27	 pop_3 	A120 	6 	11
MER_28	 pop_3 	A120 	3 	9
MER_29	 pop_3 	A120 	3 	6
MISS	 pop_4 	A120 	2 	3
MISS_2	 pop_4 	A120 	4 	5
MISS_3	 pop_4 	A120 	3 	5
MISS_4	 pop_4 	A120 	4 	12
MISS_5	 pop_4 	A120 	3 	5
MISS_6	 pop_4 	A120 	4 	5
MISS_7	 pop_4 	A120 	3 	11
MISS_8	 pop_4 	A120 	4 	5
MISS_9	 pop_4 	A120 	4 	4
MISS_10	 pop_4 	A120 	3 	4
MISS_11	 pop_4 	A120 	4 	5
MISS_12	 pop_4 	A120 	1 	5
MISS_13	 pop_4 	A120 	2 	5
MISS_14	 pop_4 	A120 	2 	4
MISS_15	 pop_4 	A120 	2 	13
MISS_16	 pop_4 	A120 	5 	5
MISS_17	 pop_4 	A120 	5 	5
MISS_18	 pop_4 	A120 	5 	5
MISS_19	 pop_4 	A120 	3 	5
MISS_20	 pop_4 	A120 	5 	11
MISS_21	 pop_4 	A120 	5 	12
MISS_22	 pop_4 	A120 	4 	7
MISS_23	 pop_4 	A120 	0 	0
MISS_24	 pop_4 	A120 	3 	4
MISS_25	 pop_4 	A120 	4 	5
MISS_26	 pop_4 	A120 	4 	12
MISS_27	 pop_4 	A120 	3 	13
MISS_28	 pop_4 	A120 	6 	7
MISS_29	 pop_4 	A120 	2 	2
MISS_30	 pop_4 	A120 	5 	5
MISS_31	 pop_4 	A120 	4 	4
MISS_32	 pop_4 	A120 	5 	12
MISS_33	 pop_4 	A120 	4 	5
MISS_34	 pop_4 	A120 	4 	11
MISS_35	 pop_4 	A120 	4 	4
MISS_36	 pop_4 	A120 	5 	7
MISS_37	 pop_4 	A120 	6 	9
MISS_38	 pop_4 	A120 	5 	5
MISS_39	 pop_4 	A120 	5 	5
MISS_40	 pop_4 	A120 	2 	5
MISS_41	 pop_4 	A120 	5 	13
MISS_42	 pop_4 	A120 	4 	5
MISS_43	 pop_4 	A120 	2 	2
MISS_44	 pop_4 	A120 	2 	14
MISS_45	 pop_4 	A120 	0 	0
MISS_46	 pop_4 	A120 	5 	11
MISS_47	 pop_4 	A120 	3 	4
MISS_48	 pop_4 	A120 	0 	0
MISS_49	 pop_4 	A120 	0 	0
MISS_50	 pop_4 	A120 	4 	5
MISS_51	 pop_4 	A120 	5 	5
TIPP	 pop_5 	A120 	2 	4
TIPP_2	 pop_5 	A120 	8 	15
TIPP_3	 pop_5 	A120 	4 	4
TIPP_4	 pop_5 	A120 	4 	5
TIPP_5	 pop_5 	A120 	4 	4
TIPP_6	 pop_5 	A120 	6 	9
TIPP_7	 pop_5 	A120 	5 	15
TIPP_8	 pop_5 	A120 	2 	5
TIPP_9	 pop_5 	A120 	0 	0
TIPP_10	 pop_5 	A120 	4 	10
TIPP_11	 pop_5 	A120 	5 	13
TIPP_12	 pop_5 	A120 	8 	10
TIPP_13	 pop_5 	A120 	8 	15
TIPP_14	 pop_5 	A120 	4 	4
TIPP_15	 pop_5 	A120 	2 	5
TIPP_16	 pop_5 	A120 	4 	8
TIPP_17	 pop_5 	A120 	2 	5
TIPP_18	 pop_5 	A120 	5 	16
TIPP_19	 pop_5 	A120 	4 	5
TN	 pop_6 	A120 	4 	6
TN_2	 pop_6 	A120 	5 	5
TN_3	 pop_6 	A120 	5 	5
TN_4	 pop_6 	A120 	5 	6
TN_5	 pop_6 	A120 	4 	6
TN_6	 pop_6 	A120 	5 	5
TN_7	 pop_6 	A120 	4 	5
TN_8	 pop_6 	A120 	5 	7
WIS	 pop_7 	A120 	11 	12
WIS_2	 pop_7 	A120 	4 	12
WIS_3	 pop_7 	A120 	2 	5
WIS_4	 pop_7 	A120 	4 	5
WIS_5	 pop_7 	A120 	2 	4
WIS_6	 pop_7 	A120 	3 	4
WIS_7	 pop_7 	A120 	3 	13
WIS_8	 pop_7 	A120 	12 	13
WIS_9	 pop_7 	A120 	5 	5
WIS_10	 pop_7 	A120 	5 	5
WIS_11	 pop_7 	A120 	5 	5
WIS_12	 pop_7 	A120 	3 	4
WIS_13	 pop_7 	A120 	5 	5
WIS_14	 pop_7 	A120 	5 	12
WIS_15	 pop_7 	A120 	2 	12
WIS_16	 pop_7 	A120 	4 	5
WIS_17	 pop_7 	A120 	0 	0
ALL	 pop_1 	C1 	3 	3
ALL_2	 pop_1 	C1 	2 	3
ALL_3	 pop_1 	C1 	3 	5
ALL_4	 pop_1 	C1 	3 	3
ALL_5	 pop_1 	C1 	2 	5
ALL_6	 pop_1 	C1 	2 	2
ALL_7	 pop_1 	C1 	6 	6
ALL_8	 pop_1 	C1 	5 	5
ALL_9	 pop_1 	C1 	2 	2
ALL_10	 pop_1 	C1 	0 	0
ALL_11	 pop_1 	C1 	2 	5
ALL_12	 pop_1 	C1 	4 	6
ALL_13	 pop_1 	C1 	2 	6
ALL_14	 pop_1 	C1 	3 	6
ALL_15	 pop_1 	C1 	2 	2
ALL_16	 pop_1 	C1 	3 	5
ALL_17	 pop_1 	C1 	3 	5
ALL_18	 pop_1 	C1 	2 	6
ALL_19	 pop_1 	C1 	3 	5
ALL_20	 pop_1 	C1 	3 	3
ALL_21	 pop_1 	C1 	2 	5
ALL_22	 pop_1 	C1 	3 	6
CHIP	 pop_2 	C1 	0 	0
CHIP_2	 pop_2 	C1 	2 	3
CHIP_3	 pop_2 	C1 	2 	2
CHIP_4	 pop_2 	C1 	3 	5
CHIP_5	 pop_2 	C1 	3 	5
CHIP_6	 pop_2 	C1 	3 	3
CHIP_7	 pop_2 	C1 	3 	3
CHIP_8	 pop_2 	C1 	3 	3
CHIP_9	 pop_2 	C1 	3 	3
CHIP_10	 pop_2 	C1 	2 	3
CHIP_11	 pop_2 	C1 	3 	3
CHIP_12	 pop_2 	C1 	2 	3
CHIP_13	 pop_2 	C1 	2 	3
CHIP_14	 pop_2 	C1 	1 	3
CHIP_15	 pop_2 	C1 	2 	3
CHIP_16	 pop_2 	C1 	2 	3
CHIP_17	 pop_2 	C1 	2 	5
CHIP_18	 pop_2 	C1 	3 	5
CHIP_19	 pop_2 	C1 	3 	6
CHIP_20	 pop_2 	C1 	3 	3
CHIP_21	 pop_2 	C1 	2 	5
MER	 pop_3 	C1 	0 	0
MER_2	 pop_3 	C1 	8 	8
MER_3	 pop_3 	C1 	8 	8
MER_4	 pop_3 	C1 	1 	2
MER_5	 pop_3 	C1 	1 	4
MER_6	 pop_3 	C1 	3 	6
MER_7	 pop_3 	C1 	1 	1
MER_8	 pop_3 	C1 	4 	4
MER_9	 pop_3 	C1 	0 	0
MER_10	 pop_3 	C1 	1 	4
MER_11	 pop_3 	C1 	1 	1
MER_12	 pop_3 	C1 	1 	2
MER_13	 pop_3 	C1 	2 	4
MER_14	 pop_3 	C1 	4 	6
MER_15	 pop_3 	C1 	2 	3
MER_16	 pop_3 	C1 	2 	5
MER_17	 pop_3 	C1 	2 	4
MER_18	 pop_3 	C1 	1 	2
MER_19	 pop_3 	C1 	2 	7
MER_20	 pop_3 	C1 	1 	1
MER_21	 pop_3 	C1 	2 	4
MER_22	 pop_3 	C1 	1 	2
MER_23	 pop_3 	C1 	1 	4
MER_24	 pop_3 	C1 	0 	0
MER_25	 pop_3 	C1 	0 	0
MER_26	 pop_3 	C1 	2 	7
MER_27	 pop_3 	C1 	4 	6
MER_28	 pop_3 	C1 	0 	0
MER_29	 pop_3 	C1 	3 	3
MISS	 pop_4 	C1 	5 	5
MISS_2	 pop_4 	C1 	3 	3
MISS_3	 pop_4 	C1 	1 	7
MISS_4	 pop_4 	C1 	2 	5
MISS_5	 pop_4 	C1 	4 	4
MISS_6	 pop_4 	C1 	2 	3
MISS_7	 pop_4 	C1 	1 	4
MISS_8	 pop_4 	C1 	2 	3
MISS_9	 pop_4 	C1 	1 	7
MISS_10	 pop_4 	C1 	2 	5
MISS_11	 pop_4 	C1 	3 	5
MISS_12	 pop_4 	C1 	2 	5
MISS_13	 pop_4 	C1 	2 	6
MISS_14	 pop_4 	C1 	3 	4
MISS_15	 pop_4 	C1 	1 	4
MISS_16	 pop_4 	C1 	2 	5
MISS_17	 pop_4 	C1 	3 	3
MISS_18	 pop_4 	C1 	1 	3
MISS_19	 pop_4 	C1 	2 	5
MISS_20	 pop_4 	C1 	3 	7
MISS_21	 pop_4 	C1 	3 	5
MISS_22	 pop_4 	C1 	2 	5
MISS_23	 pop_4 	C1 	0 	0
MISS_24	 pop_4 	C1 	2 	5
MISS_25	 pop_4 	C1 	3 	5
MISS_26	 pop_4 	C1 	2 	4
MISS_27	 pop_4 	C1 	3 	3
MISS_28	 pop_4 	C1 	3 	3
MISS_29	 pop_4 	C1 	2 	3
MISS_30	 pop_4 	C1 	3 	3
MISS_31	 pop_4 	C1 	5 	6
MISS_32	 pop_4 	C1 	3 	4
MISS_33	 pop_4 	C1 	1 	4
MISS_34	 pop_4 	C1 	0 	0
MISS_35	 pop_4 	C1 	1 	3
MISS_36	 pop_4 	C1 	2 	3
MISS_37	 pop_4 	C1 	3 	5
MISS_38	 pop_4 	C1 	2 	5
MISS_39	 pop_4 	C1 	3 	4
MISS_40	 pop_4 	C1 	3 	4
MISS_41	 pop_4 	C1 	3 	5
MISS_42	 pop_4 	C1 	1 	3
MISS_43	 pop_4 	C1 	2 	3
MISS_44	 pop_4 	C1 	1 	3
MISS_45	 pop_4 	C1 	0 	0
MISS_46	 pop_4 	C1 	1 	4
MISS_47	 pop_4 	C1 	3 	5
MISS_48	 pop_4 	C1 	0 	0
MISS_49	 pop_4 	C1 	0 	0
MISS_50	 pop_4 	C1 	3 	4
MISS_51	 pop_4 	C1 	3 	3
TIPP	 pop_5 	C1 	3 	5
TIPP_2	 pop_5 	C1 	6 	7
TIPP_3	 pop_5 	C1 	4 	4
TIPP_4	 pop_5 	C1 	3 	5
TIPP_5	 pop_5 	C1 	3 	3
TIPP_6	 pop_5 	C1 	2 	4
TIPP_7	 pop_5 	C1 	2 	3
TIPP_8	 pop_5 	C1 	1 	2
TIPP_9	 pop_5 	C1 	0 	0
TIPP_10	 pop_5 	C1 	0 	5
TIPP_11	 pop_5 	C1 	1 	3
TIPP_12	 pop_5 	C1 	3 	4
TIPP_13	 pop_5 	C1 	2 	3
